per_id,lastname,firstname,nation,q_rank,q_t,q_ta,q_b,s_rank,s_sn,s_t,s_ta,s_b,s_ba,s_t1,s_t2,s_t3,s_t4,s_b1,s_b2,s_b3,s_b4,s_a1,s_a2,s_a3,s_a4,f_rank,f_sn,f_t,f_ta,f_b,f_ba,f_t1,f_t2,f_t3,f_t4,f_b1,f_b2,f_b3,f_b4,f_a1,f_a2,f_a3,f_a4
6326,Noguchi,Akiyo,JPN,1,12,17,14,3,2,1,1,2,2,1,,,,1,1,,,1,2,1,1,1,1,2,2,2,2,1,1,,,1,1,,,1,1,,
1030,Bacher,Barbara,AUT,3,10,15,17,1,1,2,2,3,5,1,1,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,
8247,Coxsey,Shauna,GBR,2,10,11,10,2,3,2,3,2,3,2,1,,,2,1,,,2,1,1,1,,,,,,,,,,,,,,,,,,
