Klingler,Petra,SUI,23,29,25,1
Coxsey,Shauna,GBR,21,22,26,2
Tracy,Michaela,GBR,20,21,24,3
Le Neve,Melissa,FRA,21,28,21,4
Crane,Leah,GBR,20,26,24,5
Caulier,Chloé,BEL,19,23,24,6
Kümin,Andrea,SUI,19,24,24,7
Bärtschi,Natalie,SUI,18,25,23,8
Hayes,Tara,GBR,17,25,19,9
Späte,Jara,SUI,16,23,20,10
Peet,Gill,GBR,15,20,19,11
Slaney,Hannah,GBR,14,16,21,12
Morris,Abigail,GBR,16,25,17,13
Remškar,Ajda,SLO,15,21,18,14
Bacmeister,Ellie,GBR,15,21,18,14
Thompson-Smith,Molly,GBR,14,17,20,16
Watterson,Victoria,GBR,15,22,16,17
Schwab,Tabea,SUI,16,27,17,18
Langenkamp,Noemi,SUI,13,16,14,19
Zijlstra,Vera,NED,13,17,21,20
Carr,Rachel,GBR,12,13,19,21
Merrick,Diane,GBR,12,13,17,22
Wood,Jennifer,GBR,12,14,17,23
Alhadeff,Lisa,GBR,12,14,13,24
Lee,Eugenie,GBR,12,14,12,25
Wisniewska,Agata,POL,13,19,18,26
Toothill,Holly,GBR,12,15,20,27
Biggs,Storme,GBR,14,24,16,28
Yokoyama,Sofya,SUI,12,18,14,29
Tilley,Florence,GBR,11,14,14,30
Buys,Naomi,GBR,12,19,14,31
Englert,Lucy,GBR,11,15,12,32
Bensley,Frances,GBR,10,12,16,33
Morrison,Kitty,GBR,11,17,14,34
Martin,Gracie,GBR,10,13,15,35
Lubczynskyj,Martha,GBR,10,13,12,36
Day,Rosea,GBR,9,10,17,37
Roberts,Yasmin,GBR,11,19,15,38
Graham,Sidonie,GBR,10,15,17,39
Pashley,Sarah,GBR,10,17,13,40
Garratt,Beth,GBR,10,17,12,41
Casey,Robin,GBR,8,9,16,42
Rees,Holly,GBR,8,9,13,43
Youdale,Claire,GBR,9,14,9,44
Ross,Lucy,GBR,8,10,13,45
Blackney,Phoebe,GBR,9,16,13,46
Watkin,Pippa,GBR,8,13,14,47
Corrigan,Olivia,GBR,7,9,19,48
Bedford,Cherry,GBR,7,9,7,49
Ogston-West,Heather,GBR,8,14,10,50
Walton,Beth,GBR,8,15,8,51
Williams,Charlotte,GBR,7,11,11,52
Williams,Charlotte,GBR,7,11,11,52
Law,Kiera,GBR,7,11,11,52
Vergez,Clara,GBR,6,7,8,55
Tan,Eunice,SIN,6,7,8,55
Littlefair,Julia,GBR,8,16,10,57
Renwick,Sadie,GBR,7,12,8,58
Jackson,Melanie,NZL,6,8,9,59
Briggs,Rachel,GBR,7,13,9,60
Vass Payne,Eilidh,GBR,5,5,10,61
Dearlove,Evelyn,GBR,5,6,8,62
Bennett,Rowanne,GBR,6,11,11,63
Hesleden,Claudia,GBR,6,11,9,64
Pyper,Kirsten,GBR,5,7,5,65
Argudo,Ana Belon,ESP,5,7,5,65
Kiggins,Asha,GBR,6,12,8,67
Whaley,Becky,GBR,5,8,7,68
Soithongsuk,Tiffany,GBR,5,8,5,69
Warren,Ettie,GBR,5,9,8,70
Forino,Anya,GBR,4,5,7,71
Cirvele,Katrina,LAT,5,10,10,72
Perez,Lara,ESP,5,11,5,73
Rose,Catrin,GBR,4,7,7,74
Logan,Abigail,GBR,3,3,7,75
Dawes,Emily,GBR,3,3,6,76
Maycock,Sian,GBR,3,3,3,77
Morrison,Arona,GBR,3,4,9,78
Gooder,Tatti,GBR,3,4,7,79
Hay,Chloe,GBR,3,4,4,80
Bell,Rachel,GBR,4,9,6,81
Zaes,Bibiana,ESP,4,9,4,82
Kong,Yin Ying,SIN,3,5,7,83
Hall,Emily,GBR,3,5,7,83
Baillie,Morna,GBR,3,5,3,85
Ridgwick,Faith,GBR,3,5,3,85
Ridgwick,Faith,GBR,3,5,3,85
Yates,Elspeth,GBR,3,6,4,88
Robertson,Gemma,GBR,3,6,3,89
Geoghegan,Yasmin,GBR,2,2,4,90
Dangi,Prerna,IND,2,2,4,90
Cooke,Tamara,GBR,2,2,3,92
Moran,Sarah,GBR,2,2,2,93
England,Leanne,GBR,2,2,2,93
Burke,Isabella,GBR,2,3,6,95
Bishton,Lucy,GBR,2,3,4,96
Saygili,Samira,GER,2,3,3,97
Team,Rab,GBR,2,3,3,97
Ennis,Kate,GBR,2,3,2,99
Corrigan,Claudia,GBR,2,3,2,99
Eastwood,Zosia,GBR,2,3,2,99
Fialova,Lucie,CZE,2,4,2,102
Sewell,Hannah,GBR,2,5,2,103
Gilbert,Ella,GBR,1,1,2,104
Brading,Hannah,GBR,1,1,1,105
Lambert,Leigh-Anne,GBR,1,1,1,105
Hooley,Leonie,GBR,1,1,1,105
Gillan,Joanne,GBR,1,1,1,105
Gillan,Joanne,GBR,1,1,1,105
Essex,Emelia,GBR,1,2,6,110
Joyce,Roisin,GBR,1,2,1,111
Baxter,Jessica,USA,1,2,1,111
Baxter,Jessica,USA,1,2,1,111
Busef,Sarah,CAN,1,3,1,114
Elton,Grace,GBR,0,0,2,115
Nolan,Sheila,IRL,0,0,0,116
Nunez,Sara,ESP,0,0,0,116
Chalakova,Jacqueline,BUL,,,,118
Stacey,Mia,GBR,,,,118
Ottley,Tash,GBR,,,,118
Beckett,Anna,GBR,,,,118
Mero,Bena,ALB,,,,118
Vidler,Jonathan,GBR,,,,118
HARRIS,JODI,GBR,,,,118
Gumley,Danielle,IRL,,,,118
Garrod-Cox,Emily,GBR,,,,118
Kabova,Petra,CZE,,,,118
Smith,Lindy,GBR,,,,118
Tolwinska,Anya,GBR,,,,118
Lee,Sarah,GBR,,,,118
Mouncey,Chrissy,GBR,,,,118
Rowley,Charlotte,GBR,,,,118
Glennie,Lucy,GBR,,,,118
Szagajdenko,Anastazja,POL,,,,118
Dearlove,Hazel,GBR,,,,118
Cowles,Hannah,GBR,,,,118
Peale,Anne,USA,,,,118
Inch,Rebecca,GBR,,,,118
Jeffery,Maria,GBR,,,,118
Uttley,Gwyneth,GBR,,,,118
