McColl,Sean,CAN,30,31,30,1
Gelmanov,Rustam,RUS,30,33,30,2
Verhoeven,Jorg,NED,30,35,30,3
Barrans,David,GBR,29,33,30,4
Rugens,Rolands,LAT,30,38,30,5
Roberts,Aidan,GBR,28,30,29,6
Pope,Jim,GBR,28,31,29,7
Cousins,Matthew,GBR,28,33,29,8
Webb,Jimmy,USA,28,33,29,8
Noble,James,GBR,27,29,30,10
Phillips,Nathan,GBR,28,34,30,11
Ometz,Baptiste,SUI,28,35,30,12
O'Connor,Daragh,IRL,28,36,29,13
Firnenburg,David,GER,29,41,30,14
Scarperi,Stefan,ITA,28,37,29,15
Khazanov,Alex,ISR,28,37,28,16
Landman,Tyler,GBR,26,29,28,17
Hojer,Jan,GER,29,43,29,18
Bosi,William,GBR,27,36,29,19
Watson,Adam,GBR,26,33,27,20
Firnenburg,Ruben,GER,27,38,29,21
Scanlon,Ciarán,IRL,25,30,26,22
Parkinson,Louis,GBR,26,35,28,23
Coley,Orrin,GBR,24,27,29,24
Blaser,Benjamin,SUI,25,32,28,25
Vogt,Dimitri,SUI,24,28,28,26
Ridal,Billy,GBR,26,37,28,27
Mawhinney,Andrew,IRL,25,33,29,28
Ayrton,Max,GBR,24,29,27,29
Heiniger,Kevin,SUI,24,29,26,30
Whittaker,Peter,GBR,24,29,25,31
Lehmann,Sascha,SUI,24,30,27,32
Harker,Cailean,GBR,22,23,27,33
Timmermans,Loic,BEL,22,25,27,34
Marcus,Nimrod,ISR,23,30,27,35
Tam,Sebastian,GBR,24,36,27,36
Arnold,Thom,GBR,21,24,25,37
Mawson,Neil,GBR,22,29,25,38
Parry,Gareth,GBR,21,26,24,39
Littlefair,Stuart,GBR,21,27,21,40
Matthews,Tommy,GBR,20,23,28,41
Malatesta,Lorenzo,ITA,21,28,23,42
Buck,William,GBR,19,20,21,43
Bransby,Ben,GBR,20,26,21,44
Mabon,James,GBR,19,22,23,45
Whaley,Nathan,GBR,21,31,23,46
Fidler,Adam,GBR,20,27,24,47
Buys,Jordan,GBR,19,23,21,48
Fantino da Silva,Davi,BRA,18,19,24,49
Grounsell,Oli,GBR,20,29,21,50
Murphy,luke,GBR,19,25,21,51
Koh,Jay,SIN,18,21,24,52
Wolsey-Heard,Ashleigh,GBR,19,28,22,53
Meakin,Ben,GBR,18,25,20,54
Skoczylas,Dawid,POL,17,21,24,55
Lopez Mateos,Eric,ESP,17,21,21,56
Williams,Sam,GBR,17,21,20,57
